Series_Name,Series_Code,Country_Name,Country_Code,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
GDP per capita (current US$),NY.GDP.PCAP.CD,Lower middle income,LMC,1542.652453,1709.884166,1775.624255,1843.332143,1935.239874,1886.725894,1920.047686,2034.893581
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa,MEA,7169.344653,8324.984473,8894.861579,8652.347582,8537.258824,7371.998335,7265.221146,7411.423129
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa (excluding high income),MNA,4157.898814,4621.789588,5011.268306,4605.550672,4466.556485,3944.349251,3928.792588,3793.932018
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa (IDA & IBRD countries),TMN,4178.708356,4644.130504,5036.720832,4623.47968,4483.06104,3955.55506,3938.533311,3799.787291
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle income,MIC,3866.193845,4517.714608,4770.005245,4991.390481,5121.330794,4804.481578,4778.762823,5193.1639
GDP per capita (current US$),NY.GDP.PCAP.CD,North America,NAC,48374.0946,50111.9823,51723.22566,53077.24208,54637.83259,55502.6915,56364.85516,58467.97381
GDP per capita (current US$),NY.GDP.PCAP.CD,Not classified,INX,,,,,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,OECD members,OED,34983.48739,37434.52002,37184.8135,37447.50456,37980.48611,35605.23919,36030.91319,37370.04899
GDP per capita (current US$),NY.GDP.PCAP.CD,Other small states,OSS,12366.33726,14891.41211,15211.57698,15541.89648,15741.33979,12793.93105,12385.06369,13404.40974
GDP per capita (current US$),NY.GDP.PCAP.CD,Pacific island small states,PSS,2905.02252,3401.31861,3568.80296,3654.826603,3919.673053,3776.199421,3899.580627,4132.18527
GDP per capita (current US$),NY.GDP.PCAP.CD,Post-demographic dividend,PST,39558.90854,42364.22576,42149.35382,42388.85788,43064.32042,40584.26096,41289.58144,42879.59117
GDP per capita (current US$),NY.GDP.PCAP.CD,Pre-demographic dividend,PRE,1396.887209,1575.221066,1678.432495,1791.26549,1856.526005,1589.453392,1398.969415,1414.800843
GDP per capita (current US$),NY.GDP.PCAP.CD,Small states,SST,11122.80301,13171.13596,13484.66686,13774.49218,13965.96173,11707.51848,11311.7329,12135.83779
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia,SAS,1257.499439,1367.313138,1364.416403,1381.856627,1494.420765,1541.803686,1651.089463,1866.886067
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia (IDA & IBRD),TSA,1257.499439,1367.313138,1364.416403,1381.856627,1494.420765,1541.803686,1651.089463,1866.886067
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa,SSF,1588.817977,1745.443057,1781.433136,1849.69361,1885.472563,1673.449291,1504.238409,1560.887347
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (excluding high income),SSA,1578.62752,1733.955781,1770.159637,1838.055744,1873.491817,1662.588028,1492.851119,1548.80154
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (IDA & IBRD countries),TSS,1588.817977,1745.443057,1781.433136,1849.69361,1885.472563,1673.449291,1504.238409,1560.887347
GDP per capita (current US$),NY.GDP.PCAP.CD,Upper middle income,UMC,6089.423314,7225.172229,7678.096345,8070.062903,8258.437751,7695.503939,7629.406856,8364.770425
GDP per capita (current US$),NY.GDP.PCAP.CD,World,WLD,9551.335653,10488.33402,10605.20832,10781.85531,10952.34442,10246.50736,10281.9088,10817.48195
