Series_Name,Series_Code,Country_Name,Country_Code,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Romania,ROU,17.06214749,17.63675464,16.31584539,15.36930935,15.00649546,15.43355526,14.53706284,14.61134019
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Russian Federation,RUS,19.48031098,19.19151083,18.30433841,17.79507055,16.58216295,17.0191912,16.21988971,16.16022381
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Rwanda,RWA,41.44091192,42.68095937,44.56089624,44.41158508,42.21148744,42.61448971,42.84380209,43.21021716
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Samoa,WSM,14.28809394,14.69309609,13.62788239,13.38252208,12.64355999,12.32179572,11.36629822,11.54802701
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,San Marino,SMR,,,,,,,,
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Sao Tome and Principe,STP,27.12662111,27.86024402,25.91584337,27.65881666,27.86230189,28.43209352,28.6665386,28.53958436
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Saudi Arabia,SAU,81.69918208,82.41903191,85.51330311,83.63099223,75.60844062,97.432289,84.46577505,87.94544668
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Senegal,SEN,34.98538395,35.93539952,36.16775596,34.0182249,36.82683776,44.34080072,38.69494655,40.6958259
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Serbia,SRB,29.10058899,31.03402776,28.5847484,27.43078591,26.49207255,26.95437789,24.78062162,24.72635819
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Seychelles,SYC,21.09126804,21.61035805,21.49533511,20.96973692,20.97051747,20.05359496,20.40382446,20.17864936
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Sierra Leone,SLE,18.52888841,18.74315581,20.10129417,18.43566679,17.69823222,22.52859793,21.34393233,21.62594668
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Singapore,SGP,20.60946174,19.34942078,20.88649301,18.70707148,17.40887705,20.66338947,18.79780262,19.0782565
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Sint Maarten (Dutch part),SXM,,,,,,,,
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Slovak Republic,SVK,21.69021974,21.76719851,19.76493293,19.31549268,18.30418161,18.8026457,17.35366264,17.56291134
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Slovenia,SVN,18.6816561,19.5141379,17.67007906,17.57137864,16.63270074,17.12815192,15.91273727,16.02397998
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Solomon Islands,SLB,14.37425559,14.37537331,13.43024493,12.55325496,12.17203082,12.69969555,11.83068915,11.87912184
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Somalia,SOM,29.00018535,31.23015581,31.58710495,29.5515726,30.40108067,32.01839243,31.75174608,32.03458423
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,South Africa,ZAF,27.13858684,26.55787322,26.57708662,26.72926171,26.72221238,26.11297177,25.14041614,25.10220499
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,South Sudan,SSD,43.22533996,45.10147241,43.97405864,42.64200121,41.90056033,47.76803169,44.84657199,45.57750557
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Spain,ESP,11.3493291,12.03799789,11.14962332,10.74258206,10.07458883,10.44910241,9.704138553,9.697927863
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Sri Lanka,LKA,31.03378115,31.23207466,30.08397283,28.89822769,26.92277652,25.33734371,14.02544523,11.09961724
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,St. Kitts and Nevis,KNA,,,,,,,,
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,St. Lucia,LCA,27.63597227,28.07865593,26.36748478,25.44480168,24.23630259,24.28323968,22.35339926,22.40081712
