aircraft,airline,speed,speed_category
Airplane,"SOUTHWEST AIRLINES",7000,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",2500,"HIGH SPEED"
Airplane,"EXPRESSJET (CONTINENTAL EXPRS)",700,"HIGH SPEED"
Airplane,"AMERICA WEST AIRLINES",6000,"HIGH SPEED"
Airplane,"MESABA AIRLINES",2000,"HIGH SPEED"
Airplane,BUSINESS,3000,"HIGH SPEED"
Airplane,"COMAIR AIRLINES",1000,"HIGH SPEED"
Airplane,MILITARY,200,"HIGH SPEED"
Airplane,"DELTA AIR LINES",150,"HIGH SPEED"
Airplane,"EXECUTIVE JET AVIATION",800,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",200,"HIGH SPEED"
Airplane,MILITARY,1000,"HIGH SPEED"
Airplane,"DELTA AIR LINES",1500,"HIGH SPEED"
Airplane,"FEDEX EXPRESS",250,"HIGH SPEED"
Airplane,"CENTRAL AIR SOUTHWEST",3300,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",1000,"HIGH SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",400,"HIGH SPEED"
Airplane,"UNITED AIRLINES",500,"HIGH SPEED"
Airplane,"SOUTHWEST AIRLINES",150,"HIGH SPEED"
Airplane,BUSINESS,2300,"HIGH SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",2000,"HIGH SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",4000,"HIGH SPEED"
Airplane,BUSINESS,5000,"HIGH SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",2000,"HIGH SPEED"
Airplane,"SOUTHWEST AIRLINES",400,"HIGH SPEED"
Airplane,"DELTA AIR LINES",300,"HIGH SPEED"
Airplane,"FEDEX EXPRESS",500,"HIGH SPEED"
Airplane,MILITARY,1500,"HIGH SPEED"
Airplane,BUSINESS,1600,"HIGH SPEED"
Airplane,"TRANS WORLD AIRLINES",400,"HIGH SPEED"
Airplane,"SOUTHWEST AIRLINES",100,"HIGH SPEED"
Airplane,"FEDEX EXPRESS",500,"HIGH SPEED"
Airplane,BUSINESS,400,"HIGH SPEED"
Airplane,"DELTA AIR LINES",1500,"HIGH SPEED"
Airplane,"DELTA AIR LINES",100,"HIGH SPEED"
Airplane,"SOUTHWEST AIRLINES",4000,"HIGH SPEED"
Airplane,"TRANS WORLD AIRLINES",2970,"HIGH SPEED"
Airplane,"US AIRWAYS*",500,"HIGH SPEED"
Airplane,"UNITED AIRLINES",5000,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",8000,"HIGH SPEED"
Airplane,"UNITED AIRLINES",5000,"HIGH SPEED"
Airplane,MILITARY,2081,"HIGH SPEED"
Airplane,MILITARY,2000,"HIGH SPEED"
Airplane,"DELTA AIR LINES",2300,"HIGH SPEED"
Airplane,"US AIRWAYS*",700,"HIGH SPEED"
Airplane,MILITARY,300,"HIGH SPEED"
Airplane,"DELTA AIR LINES",1000,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",800,"HIGH SPEED"
Airplane,MILITARY,300,"HIGH SPEED"
Airplane,BUSINESS,2500,"HIGH SPEED"
Airplane,BUSINESS,500,"HIGH SPEED"
Airplane,"BRITISH AIRWAYS",2500,"HIGH SPEED"
Airplane,"COMAIR AIRLINES",300,"HIGH SPEED"
Airplane,BUSINESS,6000,"HIGH SPEED"
Airplane,"UNITED AIRLINES",5000,"HIGH SPEED"
Airplane,"US AIRWAYS*",100,"HIGH SPEED"
Airplane,BUSINESS,2000,"HIGH SPEED"
Airplane,"AMERICA WEST AIRLINES",500,"HIGH SPEED"
Airplane,"US AIRWAYS*",1000,"HIGH SPEED"
Airplane,BUSINESS,1500,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",200,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",1500,"HIGH SPEED"
Airplane,"UNITED AIRLINES",11000,"HIGH SPEED"
Airplane,BUSINESS,200,"HIGH SPEED"
Airplane,"US AIRWAYS*",100,"HIGH SPEED"
Airplane,"SOUTHWEST AIRLINES",400,"HIGH SPEED"
Airplane,BUSINESS,1800,"HIGH SPEED"
Helicopter,GOVERNMENT,1900,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",1200,"HIGH SPEED"
Airplane,"AIRTRAN AIRWAYS",1200,"HIGH SPEED"
Airplane,"ATLANTIC COAST AIRLINES",800,"HIGH SPEED"
Airplane,"DELTA AIR LINES",125,"HIGH SPEED"
Airplane,BUSINESS,200,"HIGH SPEED"
Airplane,"SOUTHWEST AIRLINES",1000,"HIGH SPEED"
Airplane,"AIR CANADA",100,"HIGH SPEED"
Airplane,"DELTA AIR LINES",100,"HIGH SPEED"
Airplane,"ABX AIR",800,"HIGH SPEED"
Airplane,"US AIRWAYS*",800,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",200,"HIGH SPEED"
Airplane,"UNITED AIRLINES",800,"HIGH SPEED"
Helicopter,BUSINESS,500,"HIGH SPEED"
Airplane,BUSINESS,1600,"HIGH SPEED"
Airplane,"CONTINENTAL AIRLINES",300,"HIGH SPEED"
Airplane,BUSINESS,900,"HIGH SPEED"
Airplane,"SOUTHWEST AIRLINES",1200,"HIGH SPEED"
Airplane,"UNITED AIRLINES",0,"LOW SPEED"
Airplane,"SOUTHWEST AIRLINES",0,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
Airplane,"PRIVATELY OWNED",3,"LOW SPEED"
Airplane,"ALASKA AIRLINES",NULL,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
Airplane,"UNITED AIRLINES",0,"LOW SPEED"
Airplane,BUSINESS,34,"LOW SPEED"
,MILITARY,NULL,"LOW SPEED"
Airplane,BUSINESS,0,"LOW SPEED"
Airplane,MILITARY,10,"LOW SPEED"
Airplane,"ATLAS AIR",NULL,"LOW SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",NULL,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
Airplane,"US AIRWAYS*",0,"LOW SPEED"
Airplane,BUSINESS,0,"LOW SPEED"
Airplane,BUSINESS,0,"LOW SPEED"
Airplane,"UNITED AIRLINES",NULL,"LOW SPEED"
Airplane,"UNITED AIRLINES",NULL,"LOW SPEED"
Airplane,"NORTHWEST AIRLINES",NULL,"LOW SPEED"
Airplane,"NORTHWEST AIRLINES",0,"LOW SPEED"
Airplane,"UNITED AIRLINES",NULL,"LOW SPEED"
Airplane,"SOUTHWEST AIRLINES",10,"LOW SPEED"
Airplane,"UNITED AIRLINES",0,"LOW SPEED"
Airplane,"UNITED AIRLINES",50,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
Airplane,"US AIRWAYS*",0,"LOW SPEED"
Airplane,"SOUTHWEST AIRLINES",40,"LOW SPEED"
Airplane,MILITARY,0,"LOW SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",0,"LOW SPEED"
Airplane,BUSINESS,NULL,"LOW SPEED"
Airplane,"US AIRWAYS*",0,"LOW SPEED"
Airplane,"AMERICA WEST AIRLINES",NULL,"LOW SPEED"
Airplane,"UNITED AIRLINES",0,"LOW SPEED"
Airplane,"UNITED AIRLINES",NULL,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
Airplane,"US AIRWAYS*",75,"LOW SPEED"
Airplane,"NORTHWEST AIRLINES",0,"LOW SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",0,"LOW SPEED"
Airplane,"UNITED AIRLINES",0,"LOW SPEED"
Airplane,"UNITED AIRLINES",NULL,"LOW SPEED"
,UNKNOWN,0,"LOW SPEED"
Airplane,"DELTA AIR LINES",0,"LOW SPEED"
Airplane,"UNITED AIRLINES",0,"LOW SPEED"
Airplane,"AMERICAN AIRLINES",0,"LOW SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",10,"LOW SPEED"
Airplane,"UNITED AIRLINES",NULL,"LOW SPEED"
Airplane,"UNITED AIRLINES",NULL,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
Airplane,"MURRAY AVIATION",0,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
Airplane,"UNITED AIRLINES",NULL,"LOW SPEED"
Airplane,MILITARY,NULL,"LOW SPEED"
Airplane,"AMERICAN AIRLINES",0,"LOW SPEED"
Airplane,"UNITED AIRLINES",NULL,"LOW SPEED"
Airplane,"AMERICAN AIRLINES",0,"LOW SPEED"
Airplane,"AMERICA WEST AIRLINES",0,"LOW SPEED"
Airplane,"AIR WISCONSIN AIRLINES",NULL,"LOW SPEED"
Airplane,"US AIRWAYS*",0,"LOW SPEED"
Airplane,"UNITED AIRLINES",0,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
Airplane,WESTAIR,0,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
Airplane,"UNITED AIRLINES",0,"LOW SPEED"
Airplane,"UNITED AIRLINES",NULL,"LOW SPEED"
Airplane,"UNITED AIRLINES",0,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
Airplane,BUSINESS,0,"LOW SPEED"
Airplane,"HAWAIIAN AIR",0,"LOW SPEED"
,MILITARY,5,"LOW SPEED"
Airplane,MILITARY,NULL,"LOW SPEED"
Airplane,MILITARY,NULL,"LOW SPEED"
Airplane,MILITARY,0,"LOW SPEED"
Airplane,"ISLAND AIR",0,"LOW SPEED"
Airplane,"AMERICA WEST AIRLINES",0,"LOW SPEED"
Airplane,"AIR TRANSAT",20,"LOW SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",NULL,"LOW SPEED"
Airplane,"TRANS WORLD AIRLINES",0,"LOW SPEED"
Airplane,"ALOHA AIRLINES",0,"LOW SPEED"
Airplane,"COMAIR AIRLINES",30,"LOW SPEED"
Airplane,"UNITED AIRLINES",NULL,"LOW SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",50,"LOW SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",50,"LOW SPEED"
Airplane,"US AIRWAYS*",38,"LOW SPEED"
Airplane,"AMERICAN AIRLINES",0,"LOW SPEED"
Airplane,"DELTA AIR LINES",10,"LOW SPEED"
Airplane,"AMERICAN AIRLINES",0,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
Airplane,"AMERICAN AIRLINES",0,"LOW SPEED"
Airplane,"AMERICAN AIRLINES",0,"LOW SPEED"
Airplane,"UNITED AIRLINES",0,"LOW SPEED"
Airplane,"UNITED AIRLINES",NULL,"LOW SPEED"
Airplane,BUSINESS,10,"LOW SPEED"
Airplane,"UNITED AIRLINES",NULL,"LOW SPEED"
Airplane,"SOUTHWEST AIRLINES",NULL,"LOW SPEED"
Airplane,BREEZE,0,"LOW SPEED"
Airplane,MILITARY,NULL,"LOW SPEED"
Airplane,"ALASKA AIRLINES",0,"LOW SPEED"
Airplane,"AMERICAN AIRLINES",0,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
Airplane,"US AIRWAYS*",0,"LOW SPEED"
Airplane,"UNITED AIRLINES",0,"LOW SPEED"
Airplane,"UNITED AIRLINES",0,"LOW SPEED"
Airplane,BUSINESS,NULL,"LOW SPEED"
Airplane,"UNITED AIRLINES",0,"LOW SPEED"
Airplane,"UNITED AIRLINES",NULL,"LOW SPEED"
Airplane,"UNITED AIRLINES",NULL,"LOW SPEED"
Airplane,"ALOHA AIRLINES",0,"LOW SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",0,"LOW SPEED"
Airplane,"US AIRWAYS*",0,"LOW SPEED"
Airplane,BUSINESS,50,"LOW SPEED"
Airplane,BUSINESS,0,"LOW SPEED"
Airplane,"EXPRESSJET (CONTINENTAL EXPRS)",0,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
Airplane,"ABX AIR",NULL,"LOW SPEED"
Airplane,"AMERICAN AIRLINES",0,"LOW SPEED"
Airplane,MILITARY,NULL,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
Airplane,"OMNI AIR INTL",0,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
Airplane,"UNITED AIRLINES",0,"LOW SPEED"
Airplane,"AIR TRANSAT",0,"LOW SPEED"
,UNKNOWN,NULL,"LOW SPEED"
